EmployeeID,Name,Department,Hire Date,Salary
1001,Judy Perez,Finance,2022-04-25,51098
1002,Sophia Martinez,Engineering,2023-07-11,65187
1003,Heidi Wilson,Engineering,2020-10-09,55464
1004,Charlie Williams,Sales,,89856
1003,Heidi Wilson,Engineering,2020-10-09,55464
1005,Benjamin White,Engineering,2019-04-28,88136
1006,David Martin,Finance,2021-06-04,78506
1007,Grace Thompson,Sales,2019-02-28,62343
1008,Mia Perez,HR,2019-09-04,67676
1009,Emma Davis,Sales,2021-08-17,55299
1010,David Miller,HR,2019-10-07,69123
1011,Judy Taylor,HR,2021-01-08,66202
1012,Alice Gonzalez,Engineering,2021-01-12,
1013,Kunal Miller,Finance,2019-05-08,57874
1014,Benjamin Brown,Sales,2019-05-16,78352
1015,Heidi Anderson,Engineering,2021-12-13,78404
1016,Heidi Smith,Marketing,2020-01-20,80653
1017,James Anderson,Finance,2022-02-05,
1018,Frank Garcia,Engineering,2022-02-21,
1019,Amelia Thomas,HR,2020-01-21,78053
1020,Bob Martin,Engineering,2023-09-25,70874
1021,Frank Lopez,Sales,,79575
1022,Olivia Taylor,Marketing,2021-06-10,
1023,Mia Moore,HR,2022-04-12,
1024,Charlotte Thompson,Finance,2018-12-25,75576
1025,Bob Anderson,HR,,52718
1026,Zane Anderson,Engineering,2019-03-15,95000
